usuario_id,cancion_id,fecha_escucha
137,36,2024-10-29
176,59,2024-09-18
124,61,2025-03-10
162,44,2025-02-08
156,76,2024-10-15
184,37,2025-02-24
123,11,2025-01-20
137,99,2024-12-11
172,68,2025-03-30
143,43,2024-10-30
141,87,2025-03-07
155,89,2024-10-17
184,85,2024-10-04
119,35,2025-04-03
157,97,2024-10-17
136,31,2025-05-02
196,33,2024-08-27
147,83,2025-01-29
200,66,2025-05-24
136,35,2024-12-07
178,71,2025-01-04
113,67,2024-09-18
121,37,2025-04-24
140,43,2025-02-14
106,88,2024-11-03
171,50,2024-12-03
161,89,2024-06-04
132,11,2024-08-19
139,37,2025-04-15
139,10,2024-07-14
180,90,2024-07-05
121,63,2024-12-20
159,83,2025-02-11
134,14,2025-04-24
191,75,2024-12-05
181,61,2024-08-26
117,54,2025-05-27
161,53,2024-08-14
135,68,2024-07-02
169,35,2025-01-23
123,17,2024-10-04
181,13,2024-06-23
147,48,2024-07-26
128,2,2024-06-05
157,44,2024-12-25
139,99,2024-08-15
183,59,2024-07-05
195,13,2025-03-04
177,2,2025-05-18
159,42,2024-11-30
198,89,2025-05-10
179,57,2025-04-28
107,14,2024-09-16
178,50,2024-10-21
105,55,2024-10-27
173,46,2025-05-19
102,31,2025-01-02
153,49,2025-02-08
179,36,2024-12-19
173,100,2024-09-12
146,45,2024-09-01
192,96,2024-11-08
124,92,2024-10-06
194,100,2024-06-16
131,97,2024-06-22
165,99,2024-08-24
187,48,2025-01-06
140,75,2025-02-14
112,77,2025-03-18
162,42,2025-05-12
130,3,2025-01-11
147,41,2024-09-21
130,67,2025-04-01
132,83,2025-03-01
111,33,2025-04-28
152,44,2024-11-20
197,37,2024-06-30
133,35,2025-03-23
169,71,2024-11-05
186,42,2024-11-21
141,97,2024-08-06
164,61,2025-04-15
191,14,2024-12-12
197,16,2025-05-03
155,35,2024-07-23
124,60,2024-06-08
187,15,2024-06-22
174,34,2025-02-20
143,86,2025-05-26
132,31,2024-12-16
144,98,2024-12-11
150,13,2024-10-01
179,74,2025-02-22
163,86,2025-01-11
194,23,2025-04-15
195,23,2025-01-15
118,91,2024-11-12
134,40,2024-09-25
179,100,2025-05-12
175,72,2025-02-15
